Vndr	State	VndrFltrCol
0000001	LA	keep
0000003	LA	keep
0000005	LA	keep
0000007	LA	keep
0000008	LA	keep
0000010	LA	keep
0000016	LA	keep
0000017	LA	keep
0000022	LA	keep
0000026	LA	keep
0000028	LA	keep
0000034	LA	keep
0000036	LA	keep
0000037	LA	keep
0000046	LA	keep
0000068	LA	keep
0000076	LA	keep
0000078	LA	keep
0000083	LA	keep
0000084	LA	keep
0000085	LA	keep
0000219	LA	keep
0000250	LA	keep
0000298	LA	keep
0000361	LA	keep
0000380	LA	keep
0000662	LA	keep
0000687	LA	keep
0000845	LA	keep
0010050	LA	keep
0010058	LA	keep
0010101	LA	keep
0010102	LA	keep
0010110	LA	keep
0010214	LA	keep
0011202	LA	keep
0011381	LA	keep
0011538	LA	keep
0011869	LA	keep
0011924	LA	keep
0011996	LA	keep
0012019	LA	keep
0012127	LA	keep
0012422	LA 	keep
